Lexical item,Level
punto de encuentro,B1
tarjeta de embarque,B1
puerta de embarque,B1
sala de llegadas,B1
sala de embarque,B1
asiento,B1
ventanilla,B1
despegar,B1
aterrizar,B1
hacer escala,B1
facturar el equipaje,B1
facturar las maletas,B1
recoger el equipaje,B1
recoger las maletas,B1
subir de un avión,B1
subirse a un avión,B1
bajarse de un avión,B1
circulación,B1
tráfico,B1
policía de tráfico,B1
accidente de tráfico,B1
accidente de coche,B1
haber un accidente,B1
tener un accidente,B1
ver un accidente,B1
gasolinera,B1
gasolina sin plomo,B1
gasolina normal,B1
gasolina súper,B1
gasoil,B1
estar estropeado,B1
arreglar el coche,B1
seguro del coche,B1
