Lexical item,Level
empresario,A2
presidente,A2
empleado,A2
cliente,A2
fábrica,A2
empresario,A2
agricultor,A2
cerdo,A2
vaca,A2
cordero,A2
ciencia,A2
tecnología,A2
científico,A2
Matemáticas,A2
portátil,A2
ordenador portátil,A2
PC,A2
informática,A2
informático,A2
CD-ROM,A2
DVD,A2
programa,A2
navegar por Internet,A2
chatear,A2
virus,A2
vecino,A2
amable,A2
agradable,A2
generoso,A2
egoísta,A2
educación,A2
gobierno,A2
política,A2
partido político,A2
ministro,A2
primer ministro,A2
príncipe,A2
princesa,A2
Ayuntamiento,A2
juez,A2
ejército,A2
guerra,A2
paz,A2
arte,A2
artista,A2
fotografía,A2
literatura,A2
monumento,A2
estatua,A2
novela,A2
poesía,A2
obra de teatro,A2
cuadro,A2
músico,A2
canción,A2
guitarra,A2
piano,A2
violín,A2
flamenco,A2
ópera,A2
rock,A2
pop,A2
jazz,A2
tango,A2
salsa,A2
musical,A2
un musical,A2
música clásica,A2
música moderna,A2
tocar,A2
tocar un instrumento,A2
arquitecto,A2
pintor,A2
dibujo,A2
cuadro,A2
estatua,A2
palacio,A2
castillo,A2
dibujar,A2
pintar,A2
literatura,A2
escritor,A2
novela,A2
poesía,A2
cuento,A2
fotografía,A2
fotógrafo,A2
cámara,A2
cámara de fotos,A2
hacer fotos,A2
hacer una foto,A2
ver una exposición,A2
director,A2
obra de teatro,A2
Iglesia,A2
Navidad,A2
Ramadán,A2
Sabbat,A2
creer en Dios,A2
creer en Alá,A2
creer en la reencarnación,A2
mundo,A2
cielo,A2
luna,A2
estrella,A2
planeta,A2
región,A2
Noroeste,A2
Nordeste,A2
Suroeste,A2
Sudeste,A2
isla,A2
desierto,A2
bosque,A2
costa,A2
interior,A2
habitante,A2
barrio,A2
esquina,A2
ayuntamiento,A2
catedral,A2
castillo,A2
palacio,A2
plaza mayor,A2
monumento,A2
estatua,A2
calle peatonal,A2
calle mayor,A2
calle comercial,A2
ciudad cosmopolita,A2
ciudad abierta,A2
ciudad industrial,A2
ciudad antigua,A2
ciudad moderna,A2
ciudad universitaria,A2
naturaleza,A2
bosque,A2
jardín,A2
lluvia,A2
nieve,A2
niebla,A2
tormenta,A2
nube,A2
aire,A2
viento del norte,A2
viento del sur,A2
perro,A2
gato,A2
pájaro,A2
pez,A2
caballo,A2
vaca,A2
cerdo,A2
mosca,A2
mosquito,A2
araña,A2
rosa,A2
margarita,A2
bosque,A2
hoja,A2
pino,A2
olivo,A2
ramo de flores,A2
